?,L2,L,U2,U,I2,I,R,Word,UKPhonetics,USPhonetics,Paraphrase,
0,01,00,04,3,02,1,0.326585368,accede,[əkˈsiːd],[əkˈsid],赞成,
0,01,00,04,3,03,2,0.15372068,ad hoc,[æd][ˈhɒk],[ˈeˈdi][ˈhɒk],专门的,
0,01,00,04,3,04,3,0.355010691,accessible,[əkˈsesɪb(ə)l],[əkˈsɛsəbl],可以达到的；可以理解的,
0,01,00,04,3,05,4,0.219253609,accessory,[əkˈses(ə)rɪ],[əkˈsɛsəri],辅助的，附属的,
0,01,00,04,3,06,5,0.026808537,accidental,[æksɪˈdent(ə)l],[ˌæksɪˈdɛntl],意外发生的，偶然的,
0,01,00,04,3,07,6,0.882553159,acclimate,[ˈæklɪmeɪt],[ˈækləmet],使适应,
0,01,00,04,3,08,7,0.181072679,accolade,[ˈækəleɪd],[ˈækəled],同意，赞赏；赞扬,
0,01,00,04,3,09,8,0.862315974,accommodate,[əˈkɒmədeɪt],[əˈkɑmədet],改变以适应新情况、新场景；使和谐,
0,01,00,04,3,10,9,0.252231519,accentuate,[əkˈsentʃʊeɪt],[əkˈsɛntʃuet],强调,
0,01,00,05,4,01,0,0.618828435,accrete,[əˈkriːt],[əˈkrit],逐渐增长,
0,01,00,05,4,02,1,0.389252119,accumulate,[əˈkjuːmjʊleɪt],[əˈkjumjəlet],逐渐增长,
0,01,00,05,4,03,2,0.198280293,acerbic,[əˈsɜːbɪk],[əˈsɝbɪk],(心情、心境或者语调)尖酸的,
0,01,00,05,4,04,3,0.824512813,acme,[ˈækmɪ],[ˈækmi],顶点，极点,
0,01,00,05,4,05,4,0.832324514,acquiesce,[ˌækwiˈes],[ˌækwiˈes],勉强同意；默许,
0,01,00,05,4,06,5,0.70855199,acrid,[ˈækrɪd],[ˈækrɪd],刻薄的,
0,01,00,05,4,07,6,0.907003637,acrimonious,[ˌækrɪˈməʊniəs],[ˌækrɪˈmoʊniəs],刻薄的，充满仇恨的,
0,01,00,05,4,08,7,0.435940743,acumen,[ˈækjəmən],[ˈækjəmən],不同寻常的洞察力和鉴别力,
0,01,00,05,4,09,8,0.229638574,acute,[əˈkjuːt],[əˈkjut],敏锐的；(程度、影响)极强的,
0,01,00,05,4,10,9,0.636200883,adamant,[ˈædəm(ə)nt],[ˈædəmənt],固执的，不可动摇的,
0,01,00,06,5,01,0,0.922357771,adapt,[əˈdæpt],[əˈdæpt],修改，使(适应),
0,01,00,06,5,02,1,0.402355058,addict,[ˈædɪkt],[ˈædɪkt],沉溺，上瘾；对某事上瘾的人,
0,01,00,06,5,03,2,0.379953969,adhere,[ədˈhɪə],[ədˈhɪr],服从，遵守,
0,01,00,06,5,04,3,0.670492723,adjourn,[əˈdʒɜːn],[əˈdʒɝn],延期，休会,
0,01,00,06,5,05,4,0.120118295,adjunct,[ˈædʒʌŋ(k)t],[ˈædʒʌŋkt],附属物，非必须部分,
0,01,00,06,5,06,5,0.117869478,ad-lib,[ˌædˈlɪb],[ˌædˈlɪb],即兴的,
0,01,00,06,5,07,6,0.223935484,admonish,[ədˈmɒnɪʃ],[ədˈmɑnɪʃ],建议；责备,
0,01,00,06,5,08,7,0.597743294,adore,[əˈdɔː],[əˈdɔr],喜爱，因···感到愉悦；宠爱,
0,01,00,06,5,09,8,0.717669552,adulate,[ˈædʒʊleɪt],[ˈædʒəˌleɪt],极度谄媚，拍马屁,
0,01,00,06,5,10,9,0.474915314,adulterate,[əˈdʌltəreɪt],[əˈdʌltəret],掺杂，加入低等成分,
0,01,00,07,6,01,0,0.127669107,adumbrate,[ˈædəmbreɪt],[ˈædəmbreɪt],预示,
0,01,00,07,6,02,1,0.30480441,adventitious,[ˌædv(ə)nˈtɪʃəs],[ˌædvɛnˈtɪʃəs],外来的，后天的，非内在的,
0,01,00,07,6,03,2,0.252599244,adversary,[ˈædvəs(ə)rɪ],[ˈædvɚsɛri],敌手，对手,
0,01,00,07,6,04,3,0.713758993,advert,[ˈædvɜːt],[ædˈvɚt],引起注意；提到,
0,01,00,07,6,05,4,0.377373242,advocate,[ˈædvəkeɪt],[ˈædvəket],支持，提倡,
0,01,00,07,6,06,5,0.328342403,affable,[ˈæfəb(ə)l],[ˈæfəbl],和蔼的，温和的,
0,01,00,07,6,07,6,0.32250988,affinity,[əˈfɪnɪtɪ],[əˈfɪnəti],喜欢，倾向；相似,
0,01,00,07,6,08,7,0.723823227,affluent,[ˈæflʊənt],[ˈæfluənt],富裕的,
0,01,00,07,6,09,8,0.711695961,aggrandize,[əˈgrændaɪz],[əˈɡrænˌdaɪz],增加、提高(力量、财富、地位、声誉)等,
0,01,00,07,6,10,9,0.657271341,aggravate,[ˈægrəveɪt],[ˈæɡrəvet],加重，恶化,
0,01,00,08,7,01,0,0.3036654,aggregate,[ˈægrɪgət],[ˈæɡrɪɡət],集合体；集合，聚焦,
0,01,00,08,7,02,1,0.991399402,aggressive,[əˈgresɪv],[əˈɡrɛsɪv],好斗的；强有力的，强烈的,
0,01,00,08,7,03,2,0.233291297,aggrieve,[əˈgriːv],[əˈgriːv],使苦恼，使悲痛,
0,01,00,08,7,04,3,0.15660769,agitate,[ˈædʒɪteɪt],[ˈædʒəˈtet],煽动，激起；使不安,
0,01,00,08,7,05,4,0.727994442,agog,[əˈɡɒɡ],[əˈɡɑːɡ],极度感兴趣的,
0,01,00,08,7,06,5,0.488516722,agonize,[ˈæɡənaɪz],[ˈæɡənaɪz],(使)非常痛苦,
0,01,00,08,7,07,6,0.46547229,airtight,[ˈeətaɪt],[ˈertaɪt],无瑕疵的,
0,01,00,08,7,08,7,0.584939941,alacrity,[əˈlækrɪtɪ],[əˈlækrəti],反应迅速，乐意，欣然,
0,01,00,08,7,09,8,0.622811887,alibi,[ˈælɪbaɪ],[ˈæləbaɪ],不在场的证明；托辞，借口,
0,01,00,08,7,10,9,0.968458958,alienate,[ˈeɪliəneɪt],[ˈeɪliəneɪt],疏远，离间,
0,01,00,09,8,01,0,0.416971281,align,[əˈlaɪn],[əˈlaɪn],调准，校准,
0,01,00,09,8,02,1,0.575133682,allay,[əˈleɪ],[əˈle],减轻,
0,01,00,09,8,03,2,0.022049816,allegiance,[əˈliːdʒ(ə)ns],[əˈlidʒəns],忠诚,
0,01,00,09,8,04,3,0.335336246,alleviate,[əˈliːvɪeɪt],[əˈlivɪˈet],缓和，减轻,
0,01,00,09,8,05,4,0.453357954,allude,[əˈl(j)uːd],[əˈlʊd],间接提到,
0,01,00,09,8,06,5,0.007227844,allure,[əˈlʊə(r)],[əˈlʊr],吸引,
0,01,00,09,8,07,6,0.70077489,ally,[ˈælaɪ],[ˈælaɪ],盟友，支持者；加入联盟,
0,01,00,09,8,08,7,0.665126287,aloft,[əˈlɒft],[əˈlɔft],在空中,
0,01,00,09,8,09,8,0.062040043,aloof,[əˈluːf],[əˈluf],高冷的,
0,01,00,09,8,10,9,0.472256612,altruism,[ˈæltruɪzəm],[ˈæltruɪzəm],利他主义，无私,
0,01,00,10,9,01,0,0.370926388,amalgamate,[əˈmælgəmeɪt],[əˈmælɡəmet],合并，混合,
0,01,00,10,9,02,1,0.656975269,ambiguous,[æmˈbɪgjʊəs],[æmˈbɪɡjuəs],不确定的,
0,01,00,10,9,03,2,0.911116581,amble,[ˈæmb(ə)l],[ˈæmbl],漫步，闲逛,
0,01,00,10,9,04,3,0.499849872,ambrosial,[æmˈbrəʊʒɪəl],[æmˈbroʊʒɪəl],(食物)特别美味的；香的,
0,01,00,10,9,05,4,0.400182481,ameliorate,[əˈmiːlɪəreɪt],[əˈmilɪəˈret],改善，改进,
0,01,00,10,9,06,5,0.111785301,amenable,[əˈmiːnəb(ə)l],[əˈminəbl],顺从的，服从的,
0,01,00,10,9,07,6,0.52642534,amenity,[əˈmiːnɪtɪ],[əˈmɛnəti],(环境、设备等的)舒适，人性化；融洽，和谐,
0,01,00,10,9,08,7,0.040175484,amiable,[ˈeɪmɪəb(ə)l],[ˈemɪəbl],好脾气，友好易相处的,
0,01,00,10,9,09,8,0.143325167,amicable,[ˈæmɪkəb(ə)l],[ˈæmɪkəbl],友善的,
0,01,00,10,9,10,9,0.727796818,amity,[ˈæmɪtɪ],[ˈæməti],友好关系，亲善和睦,
0,02,01,01,0,01,0,0.364961006,amorphous,[əˈmɔːfəs],[əˈmɔrfəs],无固定形状的,
0,02,01,01,0,02,1,0.895470307,anodyne,[ˈænədaɪn],[ˈænədaɪn],无害的,
0,02,01,01,0,03,2,0.616652356,anarchist,[ˈænəkɪst],[ˈænɚkɪst],反抗权威的人,
0,02,01,01,0,04,3,0.028739167,anathema,[əˈnæθəmə],[əˈnæθəmə],令人讨厌的人或事,
0,02,01,01,0,05,4,0.000974556,ancillary,[ænˈsɪlərɪ],[ˈænsəlɛri],次要的；辅助的，补充的,
0,02,01,01,0,06,5,0.85688424,anecdote,[ˈænɪkdəʊt],[ˈænɪkdot],短小有趣的故事，段子,
0,02,01,01,0,07,6,0.226243167,anemic,[əˈniːmɪk],[əˈniːmɪk],缺乏力量、活力、精神的,
0,02,01,01,0,08,7,0.7573016,anesthetic,[ˌænəsˈθetɪk],[ˌænəsˈθetɪk],无感觉的，麻木的,
0,02,01,01,0,09,8,0.651142034,animate,[ˈænɪmeɪt],[ˈænɪmeɪt],有活力的；使有活力，支持,
0,02,01,01,0,10,9,0.37165843,animus,[ˈænɪməs],[ˈænɪməs],敌意,
0,02,01,02,1,01,0,0.28095694,annoy,[əˈnɒɪ],[əˈnɔɪ],不断烦扰,
0,02,01,02,1,02,1,0.043291269,annul,[əˈnʌl],[əˈnʌl],宣告无效，取消,
0,02,01,02,1,03,2,0.729638156,anomalous,[əˈnɒm(ə)ləs],[əˈnɑmələs],不普通的，不平常的,
0,02,01,02,1,04,3,0.233833597,anonymous,[əˈnɒnɪməs],[əˈnɑnəməs],匿名的,
0,02,01,02,1,05,4,0.515804825,antagonize,[ænˈtæɡənaɪz],[ænˈtæɡənaɪz],与...敌对，反对；激怒,
0,02,01,02,1,06,5,0.083009226,antediluvian,[ˌæntɪdɪˈluːvɪən],[ˌæntɪdɪˈluvɪən],非常古老的；过时的,
0,02,01,02,1,07,6,0.205976391,anterior,[ænˈtɪərɪə],[ænˈtɪrɪɚ],前面的,
0,02,01,02,1,08,7,0.875911289,antic,[ˈæntɪk],[ˈæntɪk],滑稽可笑的,
0,02,01,02,1,09,8,0.850445517,apathy,[ˈæpəθɪ],[ˈæpəθi],缺乏兴趣，不关心,
0,02,01,02,1,10,9,0.378304245,aphorism,[ˈæfərɪz(ə)m],[ˈæfərɪzəm],格言，警句,
0,02,01,03,2,01,0,0.394145408,apocalyptic,[əˌpɒkəˈlɪptɪk],[əˌpɑːkəˈlɪptɪk],预言的，启示的；重要的，转折点的,
0,02,01,03,2,02,1,0.270739274,apocryphal,[əˈpɒkrɪfl],[əˈpɑːkrɪfl],假的,
0,02,01,03,2,03,2,0.978900181,apoplectic,[ˌæpəˈplektɪk],[ˌæpəˈplektɪk],极度愤怒的,
0,02,01,03,2,04,3,0.029152479,apostasy,[əˈpɒstəsi],[əˈpɒstəsi],背叛,
0,02,01,03,2,05,4,0.218882729,appall,[əˈpɔːl],[əˈpɔːl],使惊恐,
0,02,01,03,2,06,5,0.96018513,appeal,[əˈpiːl],[əˈpil],申请；起诉,
0,02,01,03,2,07,6,0.693739059,appealing,[əˈpiːlɪŋ],[əˈpilɪŋ],吸引人的,
0,02,01,03,2,08,7,0.98266385,applause,[əˈplɔːz],[əˈplɔz],鼓掌；认可,
0,02,01,03,2,09,8,0.764673823,apposite,[ˈæpəzɪt],[ˈæpəzɪt],相关的，合适的,
0,02,01,03,2,10,9,0.87994582,appreciable,[əˈpriːʃəbl],[əˈpriːʃəbl],可感知的，明显的,
0,02,01,04,3,01,0,0.852179382,apprehension,[æprɪˈhenʃ(ə)n],[ˌæprɪˈhɛnʃən],忧虑，恐惧；理解,
0,02,01,04,3,02,1,0.999762926,apprise,[əˈpraɪz],[əˈpraɪz],通知，告知,
0,02,01,04,3,03,2,0.770239662,approbation,[ˌæprəˈbeɪʃ(ə)n],[ˈæprəˈbeʃən],同意,
0,02,01,04,3,04,3,0.81141685,appropriate,[əˈprəʊprɪət],[əˈpropriɪt],私自挪用；适当的,
0,02,01,04,3,05,4,0.328210203,apropos,[ˌæprəˈpəʊ],[ˌæprəˈpo],相关的；关于，有关,
0,02,01,04,3,06,5,0.429328461,apt,[æpt],[æpt],恰当的，合适的；聪明的,
0,02,01,04,3,07,6,0.770358216,archaic,[ɑːˈkeɪɪk],[ɑrˈkeɪk],过时的，久远的,
0,02,01,04,3,08,7,0.010393071,archetype,[ˈɑːkɪtaɪp],[ˈɑrkəˈtaɪp],典范，榜样,
0,02,01,04,3,09,8,0.068743842,ardor,[ˈɑːdə],[ˈɑrdɚ],狂热,
0,02,01,04,3,10,9,0.123168872,arduous,[ˈɑːdjʊəs],[ˈɑrdʒuəs],难以做到的，费劲的,
0,02,01,05,4,01,0,0.170040109,anthropogenic,[ˌænθrəpəˈdʒenɪk],[ˌænθrəpəˈdʒɛnɪk],人为的,
0,02,01,05,4,02,1,0.967261026,arrest,[əˈrest],[əˈrɛst],停止；逮捕；吸引(某人)注意力,
0,02,01,05,4,03,2,0.376691031,arresting,[əˈrestɪŋ],[əˈrɛstɪŋ],吸引人的,
0,02,01,05,4,04,3,0.563712232,arrhythmic,[ɑːˈrɪðmɪk],[ɑːˈrɪðmɪk],不规律的,
0,02,01,05,4,05,4,0.631960097,arrogance,[ˈærəg(ə)ns],[ˈærəgəns],傲慢，自大,
0,02,01,05,4,06,5,0.049666389,articulate,[ɑːˈtɪkjʊleɪt],[ɑrˈtɪkjulet],清晰地表达；表达清晰的,
0,02,01,05,4,07,6,0.035009731,ascendant,[əˈsendənt],[əˈsendənt],有影响力的，主宰的,
0,02,01,05,4,08,7,0.187720097,ascetic,[əˈsetɪk],[əˈsɛtɪk],自制的(人),
0,02,01,05,4,09,8,0.466541511,aseptic,[eɪˈseptɪk],[ˌeˈsɛptɪk],消毒的，无菌的,
0,02,01,05,4,10,9,0.287130445,askew,[əˈskjuː],[əˈskju],不成直线的(地)，歪的(地),
0,02,01,06,5,01,0,0.583890711,aspect,[ˈæspekt],[ˈæspɛkt],外表，容貌,
0,02,01,06,5,02,1,0.963958681,asperity,[əˈsperɪtɪ],[æˈspɛrəti],(举止、性情)粗暴；(环境)艰苦,
0,02,01,06,5,03,2,0.58572634,aspersion,[əsˈpɜːʃən],[əˈspɜːʒən],诽谤，中伤,
0,02,01,06,5,04,3,0.829345521,aspirant,[əˈspaɪər(ə)nt],[əˈspaɪərənt],有抱负者，有野心者,
0,02,01,06,5,05,4,0.102741917,assent,[əˈsent],[əˈsɛnt],同意,
0,02,01,06,5,06,5,0.311157438,assert,[əˈsɜːt],[əˈsɝt],断言，肯定地说出,
0,02,01,06,5,07,6,0.542804036,assertive,[əˈsɜːtɪv],[əˈsɝtɪv],自信的,
0,02,01,06,5,08,7,0.506305542,assess,[əˈses],[əˈsɛs],评估(重要性、尺寸、价值等)；征收费用(如罚款),
0,02,01,06,5,09,8,0.100200943,assiduous,[əˈsɪdjuəs],[əˈsɪdʒuəs],勤勉的，专心仔细的,
0,02,01,06,5,10,9,0.874559477,assuage,[əˈsweɪdʒ],[əˈswedʒ],缓和，减轻,
0,02,01,07,6,01,0,0.039192117,astounding,[əˈstaʊndɪŋ],[əˈstaʊndɪŋ],令人吃惊的，出乎意料的,
0,02,01,07,6,02,1,0.646332232,astute,[əˈstjuːt],[əˈstut],机敏的，有洞察力的,
0,02,01,07,6,03,2,0.615720957,asunder,[əˈsʌndə(r)],[əˈsʌndər],分离地,
0,02,01,07,6,04,3,0.09127266,asylum,[əˈsaɪləm],[əˈsaɪləm],收容所，保护所,
0,02,01,07,6,05,4,0.920625618,asymmetrical,[eɪsɪˈmetrɪkl],[ˌesɪˈmɛtrɪkl],不平衡的，不对称的,
0,02,01,07,6,06,5,0.259616281,atone,[əˈtəʊn],[əˈtoʊn],赎罪，弥补,
0,02,01,07,6,07,6,0.668879592,atrocious,[əˈtrəʊʃəs],[əˈtroʊʃəs],极坏的，极其残忍的,
0,02,01,07,6,08,7,0.382109107,attenuate,[əˈtenjʊeɪt],[əˈtɛnjuet],降低(数量、力量、价值),
0,02,01,07,6,09,8,0.066367999,audacious,[ɔːˈdeɪʃəs],[ɔˈdeʃəs],大胆的，(但往往)愚勇的；令人吃惊的,
0,02,01,07,6,10,9,0.794608606,augur,[ˈɔːɡə(r)],[ˈɔːɡər],预言家；预言,
0,02,01,08,7,01,0,0.125583774,authentic,[ɔːˈθentɪk],[ɔˈθɛntɪk],真实的，非仿造的,
0,02,01,08,7,02,1,0.240243395,authority,[ɔːˈθɒrɪtɪ],[əˈθɔrəti],(某领域的)权威人士；管辖权，控制,
0,02,01,08,7,03,2,0.687129995,autocracy,[ɔːˈtɒkrəsi],[ɔːˈtɑːkrəsi],独裁政府,
0,02,01,08,7,04,3,0.323216381,autonomy,[ɔːˈtɒnəmɪ],[ɔˈtɑnəmi],政治上的独立；自我主导的自由，(尤其是)精神独立,
0,02,01,08,7,05,4,0.633249032,avarice,[ˈæv(ə)rɪs],[ˈævərɪs],贪财，贪婪,
0,02,01,08,7,06,5,0.543209658,aver,[əˈvɜː(r)],[əˈvɜːr],声称为真,
0,02,01,08,7,07,6,0.00545764,averse,[əˈvɜːs],[əˈvɝs],反对的,
0,02,01,08,7,08,7,0.157380076,avid,[ˈævɪd],[ˈævɪd],急切渴望的,
0,02,01,08,7,09,8,0.88527509,awash,[əˈwɒʃ],[əˈwɔːʃ],(如洪水般)泛滥的,
0,02,01,08,7,10,9,0.708856332,awe,[ɔː],[ɔ],敬畏,
0,02,01,09,8,01,0,0.504288103,awkward,[ˈɔːkwəd],[ˈɔkwɚd],缺乏灵活性和技巧的；(处理问题)缺乏手段和智谋的,
0,02,01,09,8,02,1,0.354753528,avant-garde,[ˌævɒ̃ˈɡɑːd],[ˌævɑː̃ˈɡɑːrd],(尤指艺术上的)先锋派,
0,02,01,09,8,03,2,0.490913917,awry,[əˈraɪ],[əˈraɪ],出差错的(地),
0,02,01,09,8,04,3,0.236492705,axiomatic,[ˌæksiəˈmætɪk],[ˌæksiəˈmætɪk],不言自明的,
0,02,01,09,8,05,4,0.174658139,babble,[ˈbæb(ə)l],[ˈbæbl],发出含糊无意义的嘟囔声，胡乱说,
0,02,01,09,8,06,5,0.18564008,backhanded,[ˌbækˈhændɪd],[ˌbækˈhændɪd],间接的,
0,02,01,09,8,07,6,0.084972217,badger,[ˈbædʒə],[ˈbædʒɚ],不断纠缠或骚扰,
0,02,01,09,8,08,7,0.757869287,badinage,[ˈbædɪnɑːʒ],[ˌbædənˈɑʒ],打趣，善意的玩笑,
0,02,01,09,8,09,8,0.701926978,bait,[beɪt],[bet],引诱；诱饵,
0,02,01,09,8,10,9,0.930547071,bale,[beɪl],[bel],痛苦，悲哀,
0,02,01,10,9,01,0,0.385523593,baleful,[ˈbeɪlfl],[ˈbeɪlfl],有害的,
0,02,01,10,9,02,1,0.600274723,balk,[bɔːlk],[bɔk],阻碍；不愿接受，拒绝,
0,02,01,10,9,03,2,0.575732407,balky,[ˈbɔːlki],[ˈbɔːlki],不服管束的，倔强的,
0,02,01,10,9,04,3,0.824633708,balderdash,[ˈbɔːldədæʃ],[ˈbɔːldərdæʃ],胡言乱语，废话，无意义的话,
0,02,01,10,9,05,4,0.562178796,balloon,[bəˈluːn],[bəˈlun],迅速增加,
0,02,01,10,9,06,5,0.876829157,balm,[bɑːm],[bɑm],香油，止痛膏，安慰物,
0,02,01,10,9,07,6,0.174888944,banal,[bəˈnɑːl],[bəˈnɑl],非原创的，陈腐的,
0,02,01,10,9,08,7,0.269832019,bane,[beɪn],[ben],有害的物质,
0,02,01,10,9,09,8,0.685357548,banish,[ˈbænɪʃ],[ˈbænɪʃ],驱逐出境,
0,02,01,10,9,10,9,0.584206437,banter,[ˈbæntə],[ˈbæntɚ],幽默、打趣的(地)谈话,
0,03,02,01,0,01,0,0.928976466,barb,[bɑːb],[bɑrb],尖锐而严厉的批评,
0,03,02,01,0,02,1,0.288629272,barbarous,[ˈbɑːbərəs],[ˈbɑːrbərəs],野蛮的，凶残的,
0,03,02,01,0,03,2,0.559793958,barefaced,[ˈbeəfeɪst],[ˈberfeɪst],公然的，厚颜无耻的,
0,03,02,01,0,04,3,0.910775408,bargain,[ˈbɑːgən],[ˈbɑrɡən],协议；讨价还价,
0,03,02,01,0,05,4,0.763425841,baroque,[bəˈrɒk],[bəˈroʊk],装饰华丽的，过分雕琢的，复杂的,
0,03,02,01,0,06,5,0.635089323,barrage,[ˈbærɑːʒ],[bəˈrɑʒ],有压倒之势的、集中倾泻的(如言语),
0,03,02,01,0,07,6,0.024520025,barren,[ˈbær(ə)n],[ˈbærən],不产生结果的，无效的；贫瘠的,
0,03,02,01,0,08,7,0.174192448,barricade,[ˌbærɪˈkeɪd],[ˈbærɪˈked],障碍物；用障碍物阻止通过,
0,03,02,01,0,09,8,0.597349072,barter,[ˈbɑːtə],[ˈbɑrtɚ],以物换物,
0,03,02,01,0,10,9,0.723700437,beguile,[bɪˈgaɪl],[bɪˈɡaɪl],欺骗,
0,03,02,02,1,01,0,0.637563165,bathetic,[bəˈθetɪk],[bəˈθetɪk],平凡的，陈腐的,
0,03,02,02,1,02,1,0.766545365,befuddle,[bɪˈfʌd(ə)l],[bɪˈfʌdl],使困惑,
0,03,02,02,1,03,2,0.232052502,bedeck,[bɪˈdek],[bɪˈdek],装饰，点缀,
0,03,02,02,1,04,3,0.705703862,belabor,[bɪˈleɪbə],[bɪˈleɪbə],(当众)严厉批评；就···作过度的说明，喋喋不休,
0,03,02,02,1,05,4,0.343070273,beleaguer,[bɪˈliːgə],[bɪˈliːgə],使困扰，使烦恼，使消沉,
0,03,02,02,1,06,5,0.589240512,belie,[bɪˈlaɪ],[bɪˈlaɪ],与···相对立，与···相矛盾,
0,03,02,02,1,07,6,0.422621098,bellwether,[ˈbelweðə(r)],[ˈbelweðər],领导者，带头人,
0,03,02,02,1,08,7,0.428360983,beneficent,[bɪˈnefɪs(ə)nt],[bɪˈnɛfɪsnt],仁慈的，好慈善的；(对个人或社会)有益的,
0,03,02,02,1,09,8,0.095073643,benign,[bɪˈnaɪn],[bɪˈnaɪn],无害的,
0,03,02,02,1,10,9,0.915602027,berate,[bɪˈreɪt],[bɪˈret],(长时间)严厉指责,
0,03,02,03,2,01,0,0.022307919,beseech,[bɪˈsiːtʃ],[bɪˈsiːtʃ],(急切地)恳求,
0,03,02,03,2,02,1,0.434606472,besmirch,[bɪˈsmɜːtʃ],[bɪˈsmɜːrtʃ],诽谤，玷污,
0,03,02,03,2,03,2,0.317864379,bifurcate,[ˈbaɪfəkeɪt],[ˈbaɪfərkeɪt],(使)分成两支,
0,03,02,03,2,04,3,0.195911116,bigot,[ˈbɪɡət],[ˈbɪɡət],固执己见者，有偏见的人,
0,03,02,03,2,05,4,0.510978432,bland,[blænd],[blænd],无趣的,
0,03,02,03,2,06,5,0.769307178,blandishment,[ˈblændɪʃmənt],[ˈblændɪʃmənt],甜言蜜语，讨某人好话,
0,03,02,03,2,07,6,0.910931727,blasé,[blɑːs],[blɑːs],(过度放纵之后)厌倦享乐的，腻厌的,
0,03,02,03,2,08,7,0.629858904,blast,[blɑːst],[blæst],爆炸；斥责，抨击,
0,03,02,03,2,09,8,0.364525906,blatant,[ˈbleɪtnt],[ˈbleɪtnt],(让人生厌地)惹人注目的,
0,03,02,03,2,10,9,0.743724362,blazon,[ˈbleɪzn],[ˈbleɪzn],使知名；修饰，装扮,
0,03,02,04,3,01,0,0.173421822,blemish,[ˈblemɪʃ],[ˈblemɪʃ],缺点，污点；损害，玷污,
0,03,02,04,3,02,1,0.829908082,blight,[blaɪt],[blaɪt],(使)枯萎；损害,
